round,loss,accuracy,precision,recall,f1,auc
83,1.3803814067443212,0.9133333333333333,0.5579004329004329,0.9333333333333333,0.6782106782106782,0.9695382362010484
84,1.5235180223733187,0.94,0.6613756613756614,0.9333333333333333,0.7473684210526316,0.9756614246068455
85,1.4632786613764863,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9774730188097442
86,1.5360054125264286,0.9133333333333333,0.5757575757575757,0.9333333333333333,0.6873015873015873,0.971349830403947
87,1.950172658363978,0.9333333333333333,0.6296296296296297,0.7666666666666667,0.6695906432748537,0.9725998304039469
88,1.5168418817594647,0.9,0.5384615384615384,0.9333333333333333,0.6652173913043478,0.9642576318223868
89,2.739576639831066,0.92,0.6444444444444445,0.6666666666666666,0.625,0.9714947579401788
90,1.277279273668925,0.9,0.5238095238095237,0.9333333333333333,0.6515151515151516,0.9717664970706136
91,1.502727499504884,0.9133333333333333,0.5579004329004329,0.9333333333333333,0.6782106782106782,0.9750318635008737
92,1.4040074072281519,0.9133333333333333,0.5674242424242425,0.85,0.6580086580086579,0.9792846130126426
93,1.5124070629477502,0.9133333333333333,0.5579004329004329,0.9333333333333333,0.6782106782106782,0.9730843354918284
94,1.4413338283697763,0.9133333333333333,0.5674242424242425,0.85,0.6580086580086579,0.9697420084284097
95,1.403580840031306,0.9133333333333333,0.5579004329004329,0.9333333333333333,0.6782106782106782,0.9762138965978003
96,1.5570022647579511,0.9266666666666666,0.6075036075036074,0.9333333333333333,0.7206349206349206,0.9798370850035973
97,1.4293222765127818,0.8933333333333333,0.5067155067155067,0.9333333333333333,0.6409749670619236,0.9682203977798334
98,1.6649884488394795,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9689857642100935
99,1.40890975634257,0.9,0.5138888888888888,0.85,0.6242424242424243,0.9686957806557716
100,1.4925908395275473,0.92,0.5896464646464646,0.9333333333333333,0.7024531024531024,0.9737138965978003
